BlockKey,blockGeometry
Chable|2011,"POLYGON ((-91.722101395999772 17.89888019900004 0, -91.71777371547816 17.900349130015144 0, -91.7163609420827 17.900152811130539 0, -91.716467015884149 17.899888829207004 0, -91.718662823414249 17.895507259387315 0, -91.718957823400288 17.895352868085393 0, -91.71895782393733 17.895352867980044 0, -91.71895782393733 17.895352867980048 0, -91.719462411902953 17.895253888178491 0, -91.719566990983083 17.895036754526384 0, -91.720130582772384 17.891220893276284 0, -91.720130582802341 17.891220893073555 0, -91.723282147999726 17.89163823800008 0, -91.722101395999772 17.89888019900004 0))"
Chable|2012,"POLYGON ((-91.7164557878027 17.899820561501723 0, -91.715488258987733 17.899639638855739 0, -91.71691322999979 17.890794786000114 0, -91.720130582772384 17.891220893276284 0, -91.720155341500742 17.89122417211837 0, -91.719566990983083 17.895036754526384 0, -91.719462411902953 17.895253888178491 0, -91.7191296602843 17.895262935408255 0, -91.71895782393733 17.895352867980048 0, -91.71895782393733 17.895352867980048 0, -91.718662823414249 17.895507259387315 0, -91.7164557878027 17.899820561501723 0))"
Chable|2013,"POLYGON ((-91.720130582802341 17.891220893073555 0, -91.721669694808341 17.88172611663536 0, -91.724802565999738 17.882307474999998 0, -91.72474998099969 17.882634481000093 0, -91.723282148005026 17.891638237967616 0, -91.723282147999726 17.89163823800008 0, -91.720130582802341 17.891220893073555 0))"
Chable|2014,"POLYGON ((-91.720130582802341 17.891220893073555 0, -91.71691322999979 17.890794786000114 0, -91.71849908299977 17.881137707000139 0, -91.721669694808341 17.88172611663536 0, -91.720130582802341 17.891220893073555 0))"
Chable|2015,"POLYGON ((-91.714754666999738 17.889502088000008, -91.714110923286754 17.892481798411051, -91.714109369999733 17.892488988000004, -91.71314317215905 17.899437143386912, -91.715468539495163 17.89984646467401, -91.71706407999973 17.889807981000022, -91.716747748927872 17.889766083071724, -91.7167484010814 17.889766169453178, -91.7167436379054 17.889765538568383, -91.716747748927872 17.889766083071724, -91.714754666999738 17.889502088000008))"
Chable|2016,"POLYGON ((-91.717064079999687 17.889807981 0, -91.714754666999752 17.889502088000111 0, -91.71555448182194 17.88449056237404 0, -91.715629217583441 17.88382438292151 0, -91.715312172999745 17.883746244000069 0, -91.717467396999737 17.88094623200001 0, -91.71849908299977 17.881137707000139 0, -91.717064079999687 17.889807981 0))"
Chable|2017,"POLYGON ((-91.714110923286754 17.892481798411051 0, -91.709166312999727 17.891730137000042 0, -91.715244007999758 17.883834801000045 0, -91.715312172999745 17.883746244000069 0, -91.715629217583441 17.88382438292151 0, -91.71555448182194 17.88449056237404 0, -91.714754666999752 17.889502088000111 0, -91.7142191619997 17.892498251000031 0, -91.714110923286754 17.892481798411051 0))"
Chable|2018,"POLYGON ((-91.758910284999757 17.902247549000016 0, -91.75786594499975 17.900814024000034 0, -91.758859441999789 17.894818905000005 0, -91.762822126999751 17.895428655000032 0, -91.760688526999786 17.89924400400001 0, -91.759882414999751 17.900685457000044 0, -91.758910284999757 17.902247549000016 0))"
Chable|2019,"POLYGON ((-91.765222887999812 17.891135326000018 0, -91.762822126999751 17.895428655000035 0, -91.758859441999789 17.894818905000008 0, -91.759595990340728 17.890271402296786 0, -91.759595990340742 17.890271402296726 0, -91.759596634999809 17.890267422000004 0, -91.7595966498605 17.890267424292638 0, -91.765222887999812 17.891135326000018 0))"
Chable|2020,"POLYGON ((-91.759595937999777 17.890271718000058 0, -91.759595990340742 17.890271402296726 0, -91.75959599034077 17.890271402296577 0, -91.7595966498605 17.890267424292635 0, -91.76073058899982 17.883427558000044 0, -91.762665611331187 17.883727828132795 0, -91.761523594049748 17.890556159047488 0, -91.759595937999777 17.890271718000058 0))"
Chable|2021,"POLYGON ((-91.762665611331187 17.8837278281328 0, -91.767049915999777 17.88440978000007 0, -91.7643263509998 17.889152213000035 0, -91.7658777589998 17.88942745600006 0, -91.766097963999812 17.88957034700007 0, -91.765222887999784 17.891135326000011 0, -91.761523594049748 17.890556159047485 0, -91.762665611331187 17.883727828132795 0, -91.762665611331187 17.8837278281328 0))"
Chable|2022,"POLYGON ((-91.759595921999789 17.890271716000012 0, -91.757240699999755 17.88992753300003 0, -91.758352634999753 17.88307772600005 0, -91.76073058899982 17.883427558000029 0, -91.759595921999789 17.890271716000012 0))"
Chable|2023,"POLYGON ((-91.7595966339445 17.890267421847767 0, -91.759596634999809 17.890267422000004 0, -91.758017087999789 17.89979397300003 0, -91.75786594499975 17.900814024000034 0, -91.756255211999814 17.898602984000018 0, -91.755855913999753 17.89827797700006 0, -91.757240699999755 17.88992753300003 0, -91.7595966339445 17.890267421847767 0))"
Chable|2024,"POLYGON ((-91.7711489390843 17.906406225928826 0, -91.771168982027717 17.906340533252113 0, -91.771202386933425 17.906289674388912 0, -91.772182264167654 17.904492651859627 0, -91.772289159865934 17.904280737625193 0, -91.772625992665581 17.904129483685512 0, -91.772906593873572 17.904031738076181 0, -91.773099507204066 17.90400312959498 0, -91.773244818543915 17.904010281715721 0, -91.773347538628983 17.904122331569585 0, -91.773234797072192 17.9043273587785 0, -91.774035122937832 17.904522319832239 0, -91.774066300849825 17.904946147470518 0, -91.774070754837254 17.905196205301991 0, -91.774177650535535 17.905450501040178 0, -91.774271184271541 17.905721749425638 0, -91.774413711869229 17.905819229212828 0, -91.774645319215523 17.905560695746807 0, -91.774850202637211 17.905543742719477 0, -91.775157527769792 17.905819229212824 0, -91.775451490940071 17.905891279455858 0, -91.776181944878317 17.906014188626433 0, -91.7764358221617 17.906035379854114 0, -91.776778779193691 17.905844658713704 0, -91.776613981658841 17.905547980976468 0, -91.77628438658914 17.905153822643506 0, -91.776230938740014 17.904929194384437 0, -91.776469227067409 17.904908003024563 0, -91.777495871169648 17.905042568116794 0, -91.777776472377639 17.905131571743755 0, -91.778128337384473 17.905491824063194 0, -91.778373306693013 17.905911411136188 0, -91.7784835428823 17.906070080483989 0, -91.778260565136662 17.907502866211875 0, -91.7711489390843 17.906406225928826 0))"
Chable|2024,"POLYGON ((-91.767487761418238 17.905721749425638 0, -91.767318509895972 17.905798037959293 0, -91.764189546999773 17.905368642000028 0, -91.765284115999791 17.903194641000006 0, -91.767884166299268 17.903628040192149 0, -91.7677950865508 17.904014784902675 0, -91.767771703116836 17.904288154627672 0, -91.767975473041673 17.904351728921934 0, -91.768236031306216 17.904370801205758 0, -91.768419758287621 17.904558345220863 0, -91.768536675457625 17.904453447745333 0, -91.768788325747238 17.904318882206102 0, -91.769535482138423 17.904637812964051 0, -91.769973086403269 17.905051044654595 0, -91.769946362478649 17.905425071482764 0, -91.7691980925907 17.905653937368164 0, -91.76771046078963 17.905543742719477 0, -91.767487761418238 17.905721749425638 0))"
Chable|2025,"POLYGON ((-91.758330647999784 17.904487999000004 0, -91.760703112999792 17.900214219000059 0, -91.7682995006272 17.901371659376185 0, -91.767930933167577 17.903594663554305 0, -91.765284115999791 17.903194641000006 0, -91.764189546999773 17.905368642000028 0, -91.758330647999784 17.904487999000004 0))"
Chable|2026,"POLYGON ((-91.760703112999792 17.900214219000059 0, -91.76192730799977 17.898008845000028 0, -91.771882414999752 17.899479859000031 0, -91.7713243148394 17.902946731705391 0, -91.77105540534842 17.903237586115154 0, -91.7708816998387 17.903367914165869 0, -91.770671248932715 17.90351731449643 0, -91.770233644667869 17.903475991013337 0, -91.770120067988444 17.903291624586831 0, -91.769732571082187 17.903259837252545 0, -91.769441948402488 17.903189905097062 0, -91.769137963760528 17.90285613761149 0, -91.768867384024276 17.90228714206895 0, -91.769021046590552 17.901667284512289 0, -91.768840660099727 17.901536955211935 0, -91.7688673840243 17.901336692929654 0, -91.768750466854314 17.901304905245009 0, -91.768757147835473 17.901165039364891 0, -91.768700359495753 17.901155503050848 0, -91.768735991395232 17.900905439522344 0, -91.768311749092646 17.900832327661387 0, -91.767907549733522 17.900740143098105 0, -91.767805108022628 17.90126358124645 0, -91.760703112999792 17.900214219000059 0))"
Chable|2027,"POLYGON ((-91.775818944902966 17.903367384377237 0, -91.775948110538366 17.9017441045835 0, -91.775596245531517 17.901684767703834 0, -91.775605153506376 17.901549140475787 0, -91.775765497053811 17.901282124067521 0, -91.776549398841212 17.900171670565875 0, -91.779379217999818 17.900587381000019 0, -91.779317552027948 17.901538544594228 0, -91.77928192012854 17.901551259652024 0, -91.779221791298241 17.901547021299518 0, -91.779197294367364 17.901922115103368 0, -91.779045858794817 17.902265420601477 0, -91.778965687021071 17.903426720693982 0, -91.778769711574228 17.903524201742691 0, -91.777633944779993 17.903333477901604 0, -91.777504779144579 17.90349029529704 0, -91.777437969333192 17.903509367673511 0, -91.777193000024639 17.903505129367815 0, -91.777028202489788 17.903494533603112 0, -91.777054926414365 17.903197851934305 0, -91.776498177985815 17.903411886616659 0, -91.775818944902966 17.903367384377237 0))"
Chable|2027,"POLYGON ((-91.7762287117464 17.900125048320245 0, -91.775948110538408 17.900646369096634 0, -91.775712049204728 17.900871002780004 0, -91.775533889707589 17.900849810935227 0, -91.775426994009308 17.90151947200583 0, -91.7752532884996 17.901498280238535 0, -91.775115214889325 17.901731389539517 0, -91.774937055392215 17.90190940007216 0, -91.77482570570649 17.902235752251329 0, -91.77454955848593 17.90255786550167 0, -91.774273411265369 17.902803688378089 0, -91.773471693528251 17.902689253633167 0, -91.772901583137426 17.902663823679831 0, -91.772767963514568 17.902816403345184 0, -91.772358196671178 17.90275706682425 0, -91.77227802489746 17.902655347027903 0, -91.771966245777463 17.902697730283471 0, -91.771349368518642 17.902905408089367 0, -91.771910570934622 17.899485050800621 0, -91.7762287117464 17.900125048320245 0))"
Chable|2028,"POLYGON ((-91.772263035098348 17.897240980405282 0, -91.772266172999821 17.897241442000031 0, -91.771882414999752 17.899479859000031 0, -91.76192730799977 17.898008845000028 0, -91.763101715999781 17.895893099000016 0, -91.772263035098348 17.897240980405282 0))"
Chable|2029,"POLYGON ((-91.772647352589246 17.894921271092056 0, -91.772380521331684 17.896531850848309 0, -91.7722630349998 17.897240981000017 0, -91.763101715999781 17.895893099000016 0, -91.76431884399976 17.893657231000059 0, -91.772656087999792 17.894868544000055 0, -91.772647352589246 17.894921271092056 0))"
Chable|2030,"POLYGON ((-91.766141450999783 17.890416603000045 0, -91.7672798549998 17.891735503000042 0, -91.773037327999816 17.892586733000012 0, -91.772650490999823 17.894921727000035 0, -91.772647352589246 17.894921271092056 0, -91.764313244999812 17.893710414000029 0, -91.766141450999783 17.890416603000045 0))"
Chable|2031,"POLYGON ((-91.78014991099981 18.023381556000047 0, -91.779463238999767 18.016157698000011 0, -91.782303462999778 18.015906218000037 0, -91.783004125999824 18.023175537000025 0, -91.783024045999824 18.023354727000008 0, -91.780158256999812 18.023563593000045 0, -91.78014991099981 18.023381556000047 0))"
Chable|2032,"POLYGON ((-91.782303462999778 18.015906218000037 0, -91.779463238999767 18.016157698000011 0, -91.779118431999791 18.012530150000018 0, -91.7819695999998 18.012285236000007 0, -91.782303462999778 18.015906218000037 0))"
Chable|2033,"POLYGON ((-91.784526844999789 18.008398267000054 0, -91.784825838637559 18.011524026250861 0, -91.784825838637559 18.011524026250772 0, -91.784874382999831 18.012031515000029 0, -91.7791186029998 18.012531943000038 0, -91.779118432397951 18.012530149965812 0, -91.779118432321084 18.012530149157879 0, -91.7787728209998 18.008897707000049 0, -91.784526844999789 18.008398267000054 0))"
Chable|2034,"POLYGON ((-91.784526844999789 18.008398267000057 0, -91.778772936999829 18.008897697000048 0, -91.778426352999816 18.005256173000056 0, -91.78418148599981 18.004765960000029 0, -91.784526844999789 18.008398267000057 0))"
Chable|2035,"POLYGON ((-91.7841658508046 18.004765861860069 0, -91.778426415999789 18.005256168000056 0, -91.7780776804094 18.001250456380212 0, -91.783779179914461 18.000908572260435 0, -91.7841658508046 18.004765861860069 0))"
Chable|2036,"POLYGON ((-91.778426352999816 18.005256173000056 0, -91.772587358999772 18.00573806200002 0, -91.772198181128829 18.001611614444084 0, -91.7780543827288 18.001227868215025 0, -91.778426352999816 18.005256173000056 0))"
Chable|2037,"POLYGON ((-91.778772936999829 18.008897697000048 0, -91.772935673999768 18.009404182000004 0, -91.772587358999772 18.00573806200002 0, -91.778426352999816 18.005256173000056 0, -91.778772936999829 18.008897697000048 0))"
Chable|2038,"POLYGON ((-91.773077245999787 18.010894249000025 0, -91.772935673999768 18.009404182000004 0, -91.778772936999829 18.008897697000048 0, -91.7791186029998 18.012530134000013 0, -91.779118432321084 18.012530149157875 0, -91.774589865138665 18.012932273898898 0, -91.774589863999779 18.012932274000022 0, -91.773077245999787 18.010894249000025 0))"
Chable|2039,"POLYGON ((-91.779444021356213 18.015955521077 0, -91.779444022087688 18.015955528746446 0, -91.779656961999834 18.018646169000004 0, -91.773901164002709 18.01910558703074 0, -91.773889015446017 18.019106556523379 0, -91.773883332999787 18.01910701000001 0, -91.773843467243893 18.015510954426688 0, -91.776449562999815 18.015948873000049 0, -91.776400796999781 18.015372159000023 0, -91.775265389999788 18.013842425000046 0, -91.775037936333021 18.013533677320567 0, -91.77498273861994 18.013460041985716 0, -91.774592434392972 18.012933818797283 0, -91.779118602431168 18.01253194305054 0, -91.7791186029998 18.012531943000038 0, -91.77916993399981 18.013071980000046 0, -91.779264170999809 18.01406340700002 0, -91.7794440209998 18.015955515000012 0, -91.779444021356213 18.015955521077 0))"
Chable|2040,"POLYGON ((-91.780158256999812 18.023563593000045 0, -91.7743697709998 18.02400819700004 0, -91.773901163999781 18.019105587000055 0, -91.779656961999834 18.018646169000004 0, -91.780158256999812 18.023563593000045 0))"
Chable|2041,"POLYGON ((-91.7743697709998 18.02400819700004 0, -91.771463108999782 18.024239485000042 0, -91.770334283999773 18.013311979000022 0, -91.771798182999817 18.013182092000005 0, -91.771843999999817 18.013340000000014 0, -91.7734739999998 18.014966000000054 0, -91.773883329354248 18.019106968966831 0, -91.773883329354248 18.019106968966778 0, -91.773883333407184 18.019107009967495 0, -91.774347270999783 18.023800263000037 0, -91.7743697709998 18.02400819700004 0))"
Chable|2042,"POLYGON ((-91.771463108999782 18.024239485000042 0, -91.7684170819998 18.024481814000048 0, -91.7673303959998 18.013576335000018 0, -91.770334283999773 18.013311979000022 0, -91.771463108999782 18.024239485000042 0))"
Chable|2043,"POLYGON ((-91.76945543499977 18.00468352000005 0, -91.7724634559998 18.004434262000057 0, -91.772872821999769 18.008742760000061 0, -91.772807999999756 18.008729000000059 0, -91.771933999999817 18.008110000000027 0, -91.771501999999771 18.00802400000002 0, -91.771437999999819 18.008075000000055 0, -91.771192999999812 18.008510000000037 0, -91.771134505999768 18.008995494000015 0, -91.771134505887076 18.008995501474075 0, -91.7711072802899 18.010800861446459 0, -91.7711072802899 18.010800861446459 0, -91.771106025999828 18.010884032000025 0, -91.771241957331313 18.011265037126293 0, -91.771241957331313 18.011265037126282 0, -91.771241957999791 18.011265039000005 0, -91.77135510699982 18.011655013000038 0, -91.771795774999816 18.013182305000026 0, -91.770334283999773 18.013311979000022 0, -91.76945543499977 18.00468352000005 0))"
Chable|2044,"POLYGON ((-91.770334283999773 18.013311979000022 0, -91.7673303959998 18.013576335000018 0, -91.7664688759998 18.00493004400003 0, -91.76945543499977 18.00468352000005 0, -91.770334283999773 18.013311979000022 0))"
Chable|2045,"POLYGON ((-91.7666641239998 18.004906349000045 0, -91.7664688759998 18.00493004400003 0, -91.766260773747476 18.002428526961353 0, -91.766234531412934 18.002267531693082 0, -91.766200939992146 18.002039166208302 0, -91.772194350086338 18.001600369574856 0, -91.772463520720848 18.004424911921191 0, -91.7666641239998 18.004906349000045 0))"
Chable|2046,"POLYGON ((-91.79353283099978 18.018635663000037 0, -91.793876673999833 18.022456369000032 0, -91.791241714999813 18.022679689000011 0, -91.7907358249998 18.017346882000009 0, -91.79208808899979 18.017770969000011 0, -91.793351299999827 18.018310934000034 0, -91.793511127426427 18.018596838956658 0, -91.7935111274264 18.018596838956647 0, -91.79353283099978 18.018635663000037 0))"
Chable|2047,"POLYGON ((-91.791241714999813 18.022679689000011 0, -91.7859647479998 18.023126815000055 0, -91.785932751999781 18.023130180000042 0, -91.785930845345888 18.023110187255831 0, -91.785930845361847 18.023110187422986 0, -91.78591309299982 18.022924040000056 0, -91.7853643499998 18.01716971200004 0, -91.786705039999788 18.017050093 0, -91.786926605999781 18.017063364000009 0, -91.787114901999814 18.017060656000051 0, -91.787736657999815 18.017123589000033 0, -91.78809584999982 18.017170987000025 0, -91.788407105999809 18.017185005000023 0, -91.788968666999793 18.017628517000031 0, -91.789814889999789 18.01772741000006 0, -91.789904970999771 18.01771075800006 0, -91.789979555999835 18.017621321000021 0, -91.790060868999788 18.017424807000037 0, -91.790253507999822 18.017268151000035 0, -91.79052355399979 18.017280311000022 0, -91.7907358249998 18.017346882000009 0, -91.791241714999813 18.022679689000011 0))"
Chable|2048,"POLYGON ((-91.78593460199977 18.02314958000003 0, -91.783024045999824 18.023354727000008 0, -91.781969492040687 18.01228409842906 0, -91.781969491999831 18.012284098000048 0, -91.784874381999785 18.012031515000025 0, -91.78593460199977 18.02314958000003 0))"
Chable|2049,"POLYGON ((-91.788054796188575 18.010011874980133 0, -91.7880927019998 18.010008658000039 0, -91.792916049999818 18.009985427000043 0, -91.792964853999834 18.011073656000043 0, -91.792804298999812 18.011074791000038 0, -91.792592906999815 18.011073473000053 0, -91.791741487999829 18.010929712000049 0, -91.791465132999818 18.010960904000036 0, -91.7912415659998 18.011052459000027 0, -91.7911983429998 18.011070159000024 0, -91.790823274999809 18.01138906300001 0, -91.790767388999782 18.011436580000048 0, -91.790767388978068 18.011436581264341 0, -91.790758063999832 18.011979485000023 0, -91.790811205999773 18.012148297000046 0, -91.790962917999821 18.012320042000042 0, -91.791159808999822 18.01241500800004 0, -91.791835117999781 18.012489490000046 0, -91.792054248999847 18.012511656000054 0, -91.792321484999789 18.012540437000016 0, -91.792275820674035 18.01256153141442 0, -91.792275820674035 18.01256153141442 0, -91.791967506999811 18.012703955000042 0, -91.791590868999776 18.012870791000047 0, -91.791458978999827 18.012926991000018 0, -91.7910288929998 18.013131337000043 0, -91.790614577999818 18.013395535000008 0, -91.789854140999822 18.013280505000047 0, -91.7892040189998 18.012986673000043 0, -91.7887220459998 18.012768834000031 0, -91.787709324999824 18.012353880000017 0, -91.7874192889998 18.012254164000051 0, -91.7873790931052 18.012240344429113 0, -91.787379093105258 18.012240344429131 0, -91.787138093796628 18.012157487317321 0, -91.787138094463359 18.012157487546553 0, -91.7867470349998 18.012023038000034 0, -91.786048951999831 18.012115891000047 0, -91.785548067999812 18.012296004000046 0, -91.7853923649998 18.012529616000037 0, -91.785706179999821 18.014266376000013 0, -91.7862640589998 18.015297807 0, -91.786421092999788 18.015581062000006 0, -91.7867866319998 18.016240412000037 0, -91.786761900999821 18.016421497000049 0, -91.786690845999772 18.016570729000005 0, -91.786653816999788 18.016683084000007 0, -91.786659152999789 18.016767072000029 0, -91.786684633999826 18.016906729000013 0, -91.7867480189998 18.01702061100006 0, -91.786718898253071 18.017050923066591 0, -91.786718898253071 18.017050923066591 0, -91.786712134999789 18.017057963000052 0, -91.7853643499998 18.017169712000037 0, -91.784909585999813 18.012066189000031 0, -91.78487587199983 18.012069056000009 0, -91.7847130569998 18.010295451000033 0, -91.788054796188575 18.010011874980133 0))"
Chable|2050,"POLYGON ((-91.7880568929998 18.010037219000008 0, -91.7847130569998 18.010295451000033 0, -91.783790157999817 18.000627386000058 0, -91.787258872999814 18.000391281000056 0, -91.7880568929998 18.010037219000008 0))"
Chable|2051,"POLYGON ((-91.708548131999763 17.89249614700001 0, -91.705134361999754 17.890461229000014 0, -91.707992582999736 17.886744375000013 0, -91.711420804999761 17.888764691000038 0, -91.708548131999763 17.89249614700001 0))"
Chable|2052,"POLYGON ((-91.705134361999754 17.890461229000014 0, -91.70171986899976 17.888436064000054 0, -91.704570309999738 17.884727459999997 0, -91.707992582999736 17.886744375000013 0, -91.705134361999754 17.890461229000014 0))"
Chable|2053,"POLYGON ((-91.704570309999738 17.884727459999997 0, -91.707384137999711 17.881080165000046 0, -91.710800061999748 17.883093304000035 0, -91.707992582999736 17.886744375000013 0, -91.704570309999738 17.884727459999997 0))"
Chable|2054,"POLYGON ((-91.711420804999761 17.888764691000038 0, -91.707992582999736 17.886744375000013 0, -91.710800061999748 17.883093304000035 0, -91.714230482999724 17.885114885000046 0, -91.711420804999761 17.888764691000038 0))"
Chable|2055,"POLYGON ((-91.714230482999724 17.885114885000046 0, -91.710800061999748 17.883093304000035 0, -91.713608344999727 17.879440985000009 0, -91.716246770335331 17.880897654339051 0, -91.71648265949085 17.882135959575159 0, -91.714230482999724 17.885114885000046 0))"
Chable|2056,"POLYGON ((-91.710197847999723 17.877432821000053 0, -91.713608344999727 17.879440985000009 0, -91.710800061999748 17.883093304000035 0, -91.707384137999711 17.881080165000046 0, -91.710197847999723 17.877432821000053 0))"
Chable|2057,"POLYGON ((-91.71622554457764 17.879948661828593 0, -91.716273061023728 17.880862919243924 0, -91.710197847999723 17.877432821000053 0, -91.712756281999773 17.874116212000025 0, -91.715983666999776 17.876617707000019 0, -91.71622554457764 17.879948661828593 0))"
Chable|2058,"POLYGON ((-91.7008484409997 17.87192184400002 0, -91.703832802999713 17.871934365000055 0, -91.704061055999716 17.871914738000022 0, -91.704181259999757 17.871910301000042 0, -91.704379103999713 17.871950289000015 0, -91.704458686999715 17.871960017000024 0, -91.70458513599975 17.871943878000003 0, -91.70516447799973 17.871939946000033 0, -91.705438880999736 17.871938082000021 0, -91.707054538999728 17.872318448000019 0, -91.7072773089997 17.872380438000025 0, -91.708771440999726 17.872488897000018 0, -91.709191939999769 17.872427750000025 0, -91.710078238999756 17.872602453000049 0, -91.711245917999761 17.873010207000029 0, -91.71192771099976 17.873481707000028 0, -91.712756204999721 17.874116153000024 0, -91.710197691999724 17.877432729000063 0, -91.70159596652465 17.872363227326211 0, -91.701595966524607 17.872363227326183 0, -91.70094425999973 17.871979112000059 0, -91.7008484409997 17.87192184400002 0))"
Chable|2059,"POLYGON ((-91.703961323999735 17.879062863000033 0, -91.705862360999731 17.874877746000013 0, -91.710197847999723 17.877432821000053 0, -91.707379305185725 17.881077316759537 0, -91.707379305185725 17.881077316759537 0, -91.707379304999733 17.881077317000042 0, -91.703961323999735 17.879062863000033 0))"
Chable|2060,"POLYGON ((-91.703877520999754 17.879013470000054 0, -91.699131561999749 17.876215835000014 0, -91.701597706999721 17.872364255000019 0, -91.705815057999772 17.874849867000005 0, -91.703877520999754 17.879013470000054 0))"
Chable|2061,"POLYGON ((-91.691936156999745 17.871921809000046 0, -91.696058645999742 17.871930459000026 0, -91.697748790999725 17.871952624000052 0, -91.700177142999721 17.87189952400005 0, -91.7008484409997 17.87192184400002 0, -91.70159596652465 17.872363227326211 0, -91.701595966524579 17.872363227326169 0, -91.701597706999721 17.872364255000019 0, -91.699131336999727 17.876216185999997 0, -91.693877943999709 17.873119429000013 0, -91.691933185999744 17.871973030000024 0, -91.691936156999745 17.871921809000046 0))"
Chable|2062,"POLYGON ((-91.682800265999717 17.871894901000054 0, -91.682846493999733 17.871891601000048 0, -91.684054724999712 17.871911542000049 0, -91.68727967699968 17.871919846 0, -91.6874062349997 17.871920171000028 0, -91.688109095999692 17.871921522000012 0, -91.6918734499997 17.871922110000046 0, -91.691934040269686 17.871958302114834 0, -91.693379448999721 17.872821672000022 0, -91.690903870999747 17.876672132000039 0, -91.682800265999717 17.871894901000054 0))"
Chable|2063,"POLYGON ((-91.69196309750366 17.877296524118769 0, -91.691963097379883 17.877296524045811 0, -91.690903870999747 17.876672132000039 0, -91.693377626999734 17.872824504000025 0, -91.6983810409997 17.875773491000054 0, -91.695907361999716 17.87962150000002 0, -91.69196309750366 17.877296524118769 0))"
